词项,比重
项目,17.964801169234516
光伏,17.59941538274161
能源,16.19876986785214
建设,14.250045673223312
发展,14.12825041105901
国家,13.153888313744595
发电,12.11862858534803
再生能源,11.326959381280068
企业,10.413494915047805
电站,10.109006759637051
局,9.073747031240485
消纳,7.673101516351014
工作,7.0032275744473536
开发,6.516046525790147
风电,6.516046525790147
风电场,6.455148894707996
生物质,6.211558370379392
电网,6.150660739297241
规划,5.724377321722185
电力,5.724377321722185
供暖,5.541684428475732
抽水,5.419889166311431
蓄能,5.419889166311431
受限,5.237196273064978
地热能,5.176298641982827
情况,4.932708117654223
运行,4.810912855489922
电量,4.810912855489922
相关,4.567322331161318
2021,4.506424700079167
利用,4.506424700079167
全国,4.445527068997016
发电量,4.323731806832714
生物,4.141038913586262
推进,4.080141282504111
并网,4.080141282504111
管理,4.019243651421959
应,4.019243651421959
地区,3.775653127093356
通知,3.7147554960112052
加快,3.7147554960112052
燃料,3.7147554960112052
开发利用,3.5929602338469033
监测,3.5929602338469033
 ,3.5320626027647526
新能源,3.5320626027647526
做好,3.4711649716826014
生物质能,3.3493697095183
主管部门,3.227574447353998
单位,3.166676816271847
落实,3.105779185189696
组织,3.0448815541075454
统计,2.983983923025394
条件,2.8621886608610927
调度,2.8621886608610927
省级,2.8012910297789415
办法,2.6794957676146396
数据,2.618598136532489
资源,2.496802874368187
我国,2.435905243286036
发布,2.435905243286036
成型,2.435905243286036
天然气,2.435905243286036
贷款,2.435905243286036
约,2.435905243286036
利用率,2.435905243286036
补贴,2.3750076122038855
行业,2.3750076122038855
原因,2.3750076122038855
推动,2.3141099811217343
支持,2.3141099811217343
区,2.3141099811217343
协调,2.3141099811217343
责任,2.3141099811217343
技术,2.2532123500395835
备案,2.2532123500395835
万千瓦,2.2532123500395835
逆变器,2.2532123500395835
供热,2.1923147189574324
可用,2.1923147189574324
目标,2.1314170878752816
方式,2.1314170878752816
重点,2.1314170878752816
保障,2.1314170878752816
产业,2.1314170878752816
权重,2.1314170878752816
报送,2.1314170878752816
万吨,2.070519456793131
系统,2.0096218257109797
各省,2.0096218257109797
市,2.0096218257109797
样板,2.0096218257109797
示范,1.948724194628829
改革,1.948724194628829
建立,1.948724194628829
政策,1.887826563546678
体系,1.887826563546678
分布式,1.887826563546678
规模,1.887826563546678
投资,1.887826563546678
鼓励,1.826928932464527
时间,1.826928932464527
计算,1.826928932464527
新,1.7660313013823763
清洁,1.7660313013823763
区域,1.7660313013823763
试点,1.7051336703002253
基础,1.7051336703002253
十四五,1.7051336703002253
委,1.7051336703002253
提出,1.6442360392180744
原则,1.6442360392180744
纳入,1.6442360392180744
核准,1.6442360392180744
生态,1.5833384081359234
设备,1.5833384081359234
自治区,1.5833384081359234
直辖市,1.5833384081359234
信息,1.5833384081359234
完善,1.5224407770537727
提高,1.5224407770537727
高质量,1.5224407770537727
2022,1.5224407770537727
接入,1.5224407770537727
确权,1.4615431459716217
装机容量,1.4615431459716217
消费,1.4006455148894708
实施,1.4006455148894708
方案,1.4006455148894708
中心,1.4006455148894708
工程,1.4006455148894708
亿千瓦,1.4006455148894708
新增,1.4006455148894708
地方,1.3397478838073198
布局,1.3397478838073198
规范,1.3397478838073198
负责,1.3397478838073198
机构,1.3397478838073198
〔,1.278850252725169
〕,1.278850252725169
进一步,1.278850252725169
生产,1.278850252725169
部门,1.278850252725169
机制,1.278850252725169
平台,1.278850252725169
装机,1.278850252725169
功率,1.278850252725169
∑,1.278850252725169
号,1.217952621643018
优先,1.217952621643018
2020,1.217952621643018
制定,1.217952621643018
因素,1.217952621643018
联产,1.217952621643018
标准,1.217952621643018
来源,1.217952621643018
大中小,1.217952621643018
省,1.217952621643018
分析,1.217952621643018
派出机构,1.217952621643018
出力,1.217952621643018
衔接,1.1570549905608671
好,1.1570549905608671
市场化,1.1570549905608671
监管,1.1570549905608671
年度,1.1570549905608671
预警,1.1570549905608671
容量,1.1570549905608671
机组,1.1570549905608671
推广,1.0961573594787162
优化,1.0961573594787162
经济,1.0961573594787162
资金,1.0961573594787162
依据,1.0961573594787162
征求意见,1.0961573594787162
大型,1.0961573594787162
保障性,1.0961573594787162
10,1.0961573594787162
时段,1.0961573594787162
需求,1.0352597283965654
地热资源,1.0352597283965654
原料,1.0352597283965654
农村,1.0352597283965654
太阳能,1.0352597283965654
健康,1.0352597283965654
事项,1.0352597283965654
附件,1.0352597283965654
水电,1.0352597283965654
液体燃料,1.0352597283965654
沼气,1.0352597283965654
乙醇,1.0352597283965654
每月,1.0352597283965654
请,1.0352597283965654
发出,1.0352597283965654
排放,0.9743620973144145
调整,0.9743620973144145
配套,0.9743620973144145
热电,0.9743620973144145
市场,0.9743620973144145
有序,0.9743620973144145
锅炉,0.9743620973144145
协商,0.9743620973144145
银行,0.9743620973144145
研究,0.9743620973144145
大规模,0.9743620973144145
送,0.9743620973144145
理论,0.9743620973144145
会议,0.9743620973144145
绿色,0.9134644662322635
社会,0.9134644662322635
印发,0.9134644662322635
作用,0.9134644662322635
环保,0.9134644662322635
环境,0.9134644662322635
加大,0.9134644662322635
措施,0.9134644662322635
包括,0.9134644662322635
确保,0.9134644662322635
发挥,0.9134644662322635
评估,0.9134644662322635
规模化,0.9134644662322635
总,0.9134644662322635
信息管理,0.9134644662322635
网,0.9134644662322635
电力系统,0.9134644662322635
截至,0.9134644662322635
日前,0.9134644662322635
因地制宜,0.8525668351501127
总量,0.8525668351501127
城市,0.8525668351501127
新型,0.8525668351501127
统筹,0.8525668351501127
中国,0.8525668351501127
金融机构,0.8525668351501127
司,0.8525668351501127
量,0.8525668351501127
储备,0.8525668351501127
开工,0.8525668351501127
数量,0.8525668351501127
指,0.8525668351501127
风速,0.8525668351501127
限电,0.8525668351501127
政府,0.7916692040679617
当地,0.7916692040679617
地下水,0.7916692040679617
模式,0.7916692040679617
保护,0.7916692040679617
产品,0.7916692040679617
影响,0.7916692040679617
公布,0.7916692040679617
电价,0.7916692040679617
青海,0.7916692040679617
部署,0.7916692040679617
十三,0.7916692040679617
碳达峰,0.7916692040679617
执行,0.7916692040679617
2015,0.7916692040679617
垃圾焚烧,0.7916692040679617
全球,0.7307715729858109
非,0.7307715729858109
各类,0.7307715729858109
生态环境,0.7307715729858109
具备,0.7307715729858109
服务,0.7307715729858109
水平,0.7307715729858109
设施,0.7307715729858109
新疆生产建设兵团,0.7307715729858109
自主,0.7307715729858109
指标,0.7307715729858109
编制,0.7307715729858109
主体,0.7307715729858109
最低,0.7307715729858109
能力,0.7307715729858109
国务院,0.7307715729858109
未,0.7307715729858109
组件,0.7307715729858109
中长期,0.7307715729858109
基地,0.7307715729858109
出台,0.6698739419036599
年前,0.6698739419036599
形势,0.6698739419036599
持续,0.6698739419036599
指导,0.6698739419036599
稳定,0.6698739419036599
力度,0.6698739419036599
收集,0.6698739419036599
采用,0.6698739419036599
户用,0.6698739419036599
质量,0.6698739419036599
引导,0.6698739419036599
贯彻,0.6698739419036599
商业化,0.6698739419036599
风险,0.6698739419036599
配合,0.6698739419036599
高,0.6698739419036599
方法,0.6698739419036599
稿,0.6698739419036599
意见,0.6698739419036599
超过,0.6698739419036599
制造,0.6698739419036599
导致,0.6698739419036599
计算方法,0.6698739419036599
风机,0.6698739419036599
内容,0.608976310821509
习近平,0.608976310821509
低碳,0.608976310821509
综合,0.608976310821509
设计,0.608976310821509
意义,0.608976310821509
均,0.608976310821509
高效,0.608976310821509
替代,0.608976310821509
地热,0.608976310821509
评价,0.608976310821509
受,0.608976310821509
提供,0.608976310821509
工业园区,0.608976310821509
提升,0.608976310821509
申请,0.608976310821509
依法,0.608976310821509
承担,0.608976310821509
