 year       tem
 1951     22.82
 1952     23.74
 1953     23.41
 1954     23.50
 1955     23.12
 1956     22.84
 1957     22.85
 1958     23.12
 1959     23.31
 1960     23.18
 1961     23.41
 1962     22.79
 1963     23.08
 1964     23.14
 1965     23.38
 1966     23.85
 1967     22.53
 1968     22.99
 1969     22.68
 1970     22.71
 1971     22.66
 1972     22.87
 1973     23.57
 1974     22.67
 1975     23.03
 1976     22.46
 1977     23.30
 1978     23.00
 1979     23.23
 1980     23.44
 1981     23.48
 1982     23.16
 1983     22.80
 1984     22.57
 1985     22.63
 1986     23.28
 1987     24.06
 1988     22.99
 1989     23.11
 1990     23.38
 1991     23.99
 1992     23.05
 1993     23.53
 1994     23.72
 1995     22.99
 1996     23.35
 1997     23.73
 1998     24.47
 1999     23.99
 2000     23.77
 2001     23.83
 2002     24.07
 2003     24.43
 2004     23.15
 2005     23.01
 2006     23.42
 2007     23.24
 2008     22.43
 2009     23.27
 2010     23.27
 2011     22.38
 2012     23.24
 2013     22.97
 2014     23.28
 2015     24.23
 2016     23.62
 2017     23.67
 2018     23.47
 2019     24.57
 2020     24.27
 2021     24.20
 2022  -9999.90
