当地时间,平均气温,降水量,相对湿度,天气情况,平均风速
29.06.2022 14:00,25.8,0.2,89,薄雾 ,3
29.06.2022 11:00,26.1,0.1,85,云量发展情况没有进行观测或无法观测。 ,3
29.06.2022 08:00,24.7,0.2,92,薄雾 ,1
29.06.2022 05:00,22.6,0.1,97,薄雾 ,2
29.06.2022 02:00,23,0.7,94,薄雾 ,4
28.06.2022 23:00,24,8,96,云量发展情况没有进行观测或无法观测。 ,5
28.06.2022 20:00,24.4,12,97,薄雾 ,2
28.06.2022 17:00,24.4,14,98,小雨（不冻） ,1
28.06.2022 14:00,23.7,18,99,薄雾 ,2
28.06.2022 11:00,23.2,17,100,间歇性雨，不冻，在观测时较弱 ,2
28.06.2022 08:00,22.7,13,100,小雨（不冻） ,3
28.06.2022 05:00,22.1,32,99,间歇性雨，不冻，在观测时较强 ,3
28.06.2022 02:00,23.3,27,95,间歇性雨，不冻，在观测时较弱 ,2
27.06.2022 23:00,22.9,22,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,4
27.06.2022 20:00,23.1,22,99,小雨（不冻） ,3
27.06.2022 17:00,24.3,3,95,薄雾 ,3
27.06.2022 14:00,23.3,29,98,薄雾 ,2
27.06.2022 11:00,23.4,64,99,间歇性雨，不冻，在观测时较弱 ,3
27.06.2022 08:00,24.2,67,98,连续性雨，不冻，在观测时较弱 ,5
27.06.2022 05:00,22.7,119,99,间歇性雨，不冻，在观测时较弱 ,4
27.06.2022 02:00,23.4,117,98,间歇性雨，不冻，在观测时较强 ,5
26.06.2022 23:00,22.7,82,92,间歇性雨，不冻，在观测时中度 ,4
26.06.2022 20:00,22.4,78,98,间歇性雨，不冻，在观测时中度 ,3
26.06.2022 17:00,23.2,24,98,间歇性雨，不冻，在观测时较强 ,4
26.06.2022 14:00,26,0,88,薄雾 ,3
26.06.2022 11:00,28,0,82,薄雾 ,4
26.06.2022 08:00,26.8,0,86,薄雾 ,2
26.06.2022 05:00,24.2,0,95,薄雾 ,3
26.06.2022 02:00,24.2,0,94,薄雾 ,2
25.06.2022 23:00,24.2,0,93,薄雾 ,4
25.06.2022 20:00,25.6,0,89,薄雾 ,3
25.06.2022 17:00,28.6,0,78,云量发展情况没有进行观测或无法观测。 ,4
25.06.2022 14:00,27.6,0,82,薄雾 ,4
25.06.2022 11:00,26.7,0,84,薄雾 ,4
25.06.2022 08:00,25.6,0,69,云量发展情况没有进行观测或无法观测。 ,4
25.06.2022 05:00,23.5,0,73,云量发展情况没有进行观测或无法观测。 ,4
25.06.2022 02:00,24.1,0,79,云量发展情况没有进行观测或无法观测。 ,1
24.06.2022 23:00,25.1,0,74,薄雾 ,2
24.06.2022 20:00,29,0,45,云量发展情况没有进行观测或无法观测。 ,2
24.06.2022 17:00,28.4,0,66,霾 ,4
24.06.2022 14:00,33.7,0,43,云量发展情况没有进行观测或无法观测。 ,3
24.06.2022 11:00,31,0,51,云量发展情况没有进行观测或无法观测。 ,4
24.06.2022 08:00,25.1,0,86,雾或冰雾 ,1
24.06.2022 05:00,21.5,0,97,薄雾 ,4
24.06.2022 02:00,22.2,0,90,云量发展情况没有进行观测或无法观测。 ,1
23.06.2022 23:00,23.5,27,86,云量发展情况没有进行观测或无法观测。 ,3
23.06.2022 20:00,25.1,28,83,云量发展情况没有进行观测或无法观测。 ,5
23.06.2022 17:00,26.9,39,81,薄雾 ,4
23.06.2022 14:00,24.2,39,99,间歇性毛毛雨，不冻，在观测时为强度 ,2
23.06.2022 11:00,24.1,13,99,间歇性雨，不冻，在观测时较弱 ,1
23.06.2022 08:00,24.2,12,99,小雨（不冻） ,1
23.06.2022 05:00,22.5,0.5,99,间歇性雨，不冻，在观测时较弱 ,4
23.06.2022 02:00,22.6,0.4,100,间歇性雨，不冻，在观测时较弱 ,3
22.06.2022 23:00,22.1,0,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,3
22.06.2022 20:00,21.8,0,100,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,4
22.06.2022 17:00,21.9,0,99,薄雾 ,4
22.06.2022 14:00,22.3,0,98,薄雾 ,3
22.06.2022 11:00,21.7,0,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,3
22.06.2022 08:00,21.5,0,100,有雾或冰雾 ,3
22.06.2022 05:00,21.4,0,100,雾或冰雾 ,2
22.06.2022 02:00,21.6,0,97,云量发展情况没有进行观测或无法观测。 ,4
21.06.2022 23:00,21.7,0,98,云量发展情况没有进行观测或无法观测。 ,4
21.06.2022 20:00,21.9,0,95,云量发展情况没有进行观测或无法观测。 ,3
21.06.2022 17:00,23,0.2,89,云量发展情况没有进行观测或无法观测。 ,5
21.06.2022 14:00,23.3,0.3,85,云量发展情况没有进行观测或无法观测。 ,5
21.06.2022 11:00,21.2,0.5,97,薄雾 ,4
21.06.2022 08:00,20.3,0.7,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,4
21.06.2022 05:00,20,0.6,100,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,3
21.06.2022 02:00,20.3,0.4,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,3
20.06.2022 23:00,20.4,0.2,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,3
20.06.2022 20:00,20.9,0,100,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,4
20.06.2022 17:00,21.6,0.1,97,薄雾 ,4
20.06.2022 14:00,22.4,0.4,93,云量发展情况没有进行观测或无法观测。 ,5
20.06.2022 11:00,21.9,0.6,98,薄雾 ,4
20.06.2022 08:00,21.2,0.7,100,雾或冰雾 ,3
20.06.2022 05:00,20.7,0.6,100,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,3
20.06.2022 02:00,20.9,0.3,100,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,2
19.06.2022 23:00,21.2,0.1,100,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,3
19.06.2022 20:00,21.5,0,99,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,5
19.06.2022 17:00,21.8,0,97,薄雾 ,5
19.06.2022 14:00,22.5,0,92,薄雾 ,5
19.06.2022 11:00,22.3,0,89,云量发展情况没有进行观测或无法观测。 ,5
19.06.2022 08:00,20.5,0,96,薄雾 ,5
19.06.2022 05:00,21.8,0,94,云量发展情况没有进行观测或无法观测。 ,3
19.06.2022 02:00,23,0,81,云量发展情况没有进行观测或无法观测。 ,3
