日期,销量
2017-01-01,396
2017-01-02,383
2017-01-03,376
2017-01-04,366
2017-01-05,378
2017-01-06,398
2017-01-07,371
2017-01-08,369
2017-01-09,410
2017-01-10,376
2017-01-11,407
2017-01-12,355
2017-01-13,405
2017-01-14,424
2017-01-15,418
2017-01-16,422
2017-01-17,469
2017-01-18,482
2017-01-19,401
2017-01-20,424
2017-01-21,416
2017-01-22,420
2017-01-23,506
2017-01-24,469
2017-01-25,465
2017-01-26,505
2017-01-27,485
2017-01-28,526
2017-01-29,535
2017-01-30,527
2017-01-31,490
2017-02-01,477
2017-02-02,506
2017-02-03,475
2017-02-04,499
2017-02-05,520
2017-02-06,489
2017-02-07,568
2017-02-08,561
2017-02-09,555
2017-02-10,519
2017-02-11,511
2017-02-12,568
2017-02-13,533
2017-02-14,567
2017-02-15,588
2017-02-16,583
2017-02-17,633
2017-02-18,554
2017-02-19,622
2017-02-20,577
2017-02-21,623
2017-02-22,617
2017-02-23,662
2017-02-24,580
2017-02-25,595
2017-02-26,629
2017-02-27,603
2017-02-28,687
2017-03-01,692
2017-03-02,606
2017-03-03,637
2017-03-04,659
2017-03-05,691
2017-03-06,710
2017-03-07,668
2017-03-08,659
2017-03-09,667
2017-03-10,708
2017-03-11,702
2017-03-12,687
2017-03-13,703
2017-03-14,708
2017-03-15,728
2017-03-16,722
2017-03-17,742
2017-03-18,776
2017-03-19,705
2017-03-20,718
2017-03-21,788
2017-03-22,707
2017-03-23,766
2017-03-24,794
2017-03-25,756
2017-03-26,761
2017-03-27,824
2017-03-28,743
2017-03-29,761
2017-03-30,799
2017-03-31,768
2017-04-01,752
2017-04-02,806
2017-04-03,830
2017-04-04,850
2017-04-05,804
2017-04-06,798
2017-04-07,873
2017-04-08,858
2017-04-09,870
2017-04-10,856
2017-04-11,854
2017-04-12,872
2017-04-13,896
2017-04-14,848
2017-04-15,837
2017-04-16,839
2017-04-17,889
2017-04-18,888
2017-04-19,901
2017-04-20,891
2017-04-21,939
2017-04-22,945
2017-04-23,954
2017-04-24,952
2017-04-25,895
